날짜,순위,영화코드,영화명,일관객,누적관객,스크린수,상영횟수
20160919,1,20159646,밀정,116606,6166448,1142,5298
20160919,2,20167839,벤허,40871,938299,574,2361
20160919,3,20163294,매그니피센트 7,29315,709010,514,1987
20160919,4,20159648,"고산자, 대동여지도",13367,865867,466,1478
20160919,5,20162968,거울나라의 앨리스,7349,454959,321,780
20160919,6,20168401,카페 소사이어티,5944,62740,183,468
20160919,7,20167154,드림 쏭,2102,170732,228,272
20160919,8,20162022,대결,1364,1812,4,4
20160919,9,20167261,메카닉: 리크루트,1179,548004,97,191
20160919,10,20160041,인천상륙작전 : 익스텐디드 에디션(확장판),853,24710,99,171
20160920,1,20159646,밀정,96608,6263056,1162,5291
20160920,2,20167839,벤허,34625,972924,577,2379
20160920,3,20163294,매그니피센트 7,25699,734709,524,1989
20160920,4,20159648,"고산자, 대동여지도",12072,877939,473,1468
20160920,5,20162968,거울나라의 앨리스,6285,461244,335,766
20160920,6,20168401,카페 소사이어티,5766,68506,187,469
20160920,7,20167154,드림 쏭,1675,172407,224,271
20160920,8,20167261,메카닉: 리크루트,1194,549198,101,184
20160920,9,20163041,자백,1016,4143,3,4
20160920,10,20154910,터널,896,7118946,107,150
20160921,1,20159646,밀정,88955,6352011,1100,4976
20160921,2,20167839,벤허,30189,1003113,581,2355
20160921,3,20163294,매그니피센트 7,21301,756010,479,1804
20160921,4,20169122,아이 엠 어 히어로,17795,28253,172,780
20160921,5,20159648,"고산자, 대동여지도",11592,889531,419,1290
20160921,6,20162968,거울나라의 앨리스,6063,467307,294,641
20160921,7,20168401,카페 소사이어티,6005,74511,188,410
20160921,8,20168885,브리짓 존스의 베이비,3360,6185,13,13
20160921,9,20153443,아수라,2007,2007,5,9
20160921,10,20168891,설리: 허드슨강의 기적,1714,2017,4,4
20160922,1,20159646,밀정,84219,6436230,1026,4582
20160922,2,20167839,벤허,31760,1034873,543,2277
20160922,3,20163294,매그니피센트 7,19351,775361,447,1581
20160922,4,20169122,아이 엠 어 히어로,18235,46488,187,786
20160922,5,20159648,"고산자, 대동여지도",9700,899231,371,967
20160922,6,20162022,대결,5296,7108,353,1152
20160922,7,20168401,카페 소사이어티,4094,78605,118,246
20160922,8,20162968,거울나라의 앨리스,3959,471266,204,413
20160922,9,20167481,맨 인 더 다크,3809,3958,16,16
20160922,10,20163184,뉴 스텝업: 어반댄스,3775,3884,165,229
20160923,1,20159646,밀정,105609,6541839,1052,4764
20160923,2,20167839,벤허,40274,1075147,560,2376
20160923,3,20163294,매그니피센트 7,27274,802635,457,1616
20160923,4,20169122,아이 엠 어 히어로,22860,69348,212,840
20160923,5,20159648,"고산자, 대동여지도",12126,911357,394,995
20160923,6,20153443,아수라,7175,9182,30,31
20160923,7,20162968,거울나라의 앨리스,6265,477531,231,450
20160923,8,20162022,대결,5371,12479,366,1113
20160923,9,20168401,카페 소사이어티,4825,83430,120,251
20160923,10,20163184,뉴 스텝업: 어반댄스,3759,7643,176,243
20160924,1,20159646,밀정,192760,6734599,1104,4801
20160924,2,20167839,벤허,81028,1156175,653,2426
20160924,3,20163294,매그니피센트 7,43508,846143,544,1492
20160924,4,20169122,아이 엠 어 히어로,41175,110523,263,924
20160924,5,20168891,설리: 허드슨강의 기적,20245,22604,342,854
20160924,6,20168885,브리짓 존스의 베이비,19209,25394,347,793
20160924,7,20159648,"고산자, 대동여지도",19159,930516,393,825
20160924,8,20167154,드림 쏭,13991,189763,308,434
20160924,9,20162968,거울나라의 앨리스,12827,490358,256,431
20160924,10,20168401,카페 소사이어티,5773,89203,114,211
20160925,1,20159646,밀정,169406,6904005,1058,4609
20160925,2,20167839,벤허,73612,1229787,640,2338
