코드,지역명,분류,위도,경도
POI001,강남 MICE 관광특구,관광특구,37.511284,127.060052
POI002,동대문 관광특구,관광특구,37.567214,127.00755
POI003,명동 관광특구,관광특구,37.56414,126.982884
POI004,이태원 관광특구,관광특구,37.534757,126.99592
POI005,잠실 관광특구,관광특구,37.518689,127.116944
POI006,종로·청계 관광특구,관광특구,37.569842,126.998667
POI007,홍대 관광특구,관광특구,37.555062,126.921591
POI008,경복궁,고궁·문화유산,37.580915,126.977647
POI009,광화문·덕수궁,고궁·문화유산,37.569033,126.977809
POI010,보신각,고궁·문화유산,37.570898,126.983376
POI011,서울 암사동 유적,고궁·문화유산,37.561028,127.130785
POI012,창덕궁·종묘,고궁·문화유산,37.57953,126.994168
POI013,가산디지털단지역,인구밀집지역,37.482673,126.880145
POI014,강남역,인구밀집지역,37.500198,127.028221
POI015,건대입구역,인구밀집지역,37.540005,127.067182
POI016,고덕역,인구밀집지역,37.553377,127.155033
POI017,고속터미널역,인구밀집지역,37.504723,127.005423
POI018,교대역,인구밀집지역,37.491855,127.014566
POI019,구로디지털단지역,인구밀집지역,37.483495,126.895579
POI020,구로역,인구밀집지역,37.501517,126.882855
POI021,군자역,인구밀집지역,37.555916,127.080089
POI023,대림역,인구밀집지역,37.492818,126.895673
POI024,동대문역,인구밀집지역,37.571274,127.009685
POI025,뚝섬역,인구밀집지역,37.54825,127.046031
POI026,미아사거리역,인구밀집지역,37.612449,127.030584
POI027,발산역,인구밀집지역,37.557968,126.841797
POI029,사당역,인구밀집지역,37.47635,126.981295
POI030,삼각지역,인구밀집지역,37.535324,126.973926
POI031,서울대입구역,인구밀집지역,37.48061,126.953604
POI032,서울식물원·마곡나루역,인구밀집지역,37.567451,126.829861
POI033,서울역,인구밀집지역,37.556623,126.972169
POI034,선릉역,인구밀집지역,37.505842,127.04891
POI035,성신여대입구역,인구밀집지역,37.592628,127.01659
POI036,수유역,인구밀집지역,37.641117,127.026462
POI037,신논현역·논현역,인구밀집지역,37.508481,127.022915
POI038,신도림역,인구밀집지역,37.509415,126.89096
POI039,신림역,인구밀집지역,37.48397,126.92987
POI040,신촌·이대역,인구밀집지역,37.555641,126.937612
POI041,양재역,인구밀집지역,37.484514,127.035511
POI042,역삼역,인구밀집지역,37.500112,127.037213
POI043,연신내역,인구밀집지역,37.619035,126.921802
POI044,오목교역·목동운동장,인구밀집지역,37.531748,126.879248
POI045,왕십리역,인구밀집지역,37.561637,127.038575
POI046,용산역,인구밀집지역,37.530597,126.959538
POI047,이태원역,인구밀집지역,37.534848,126.992614
POI048,장지역,인구밀집지역,37.47861,127.124243
POI049,장한평역,인구밀집지역,37.562849,127.062351
POI050,천호역,인구밀집지역,37.539211,127.124704
POI051,총신대입구(이수)역,인구밀집지역,37.486778,126.980754
POI052,충정로역,인구밀집지역,37.559525,126.964206
POI053,합정역,인구밀집지역,37.548573,126.910845
POI054,혜화역,인구밀집지역,37.582374,127.00144
POI055,홍대입구역(2호선),인구밀집지역,37.556069,126.923298
POI056,회기역,인구밀집지역,37.590538,127.057
POI058,가락시장,발달상권,37.494455,127.11055
POI059,가로수길,발달상권,37.522663,127.025433
