수집시각,기준시각,코드,지역명,혼잡도,인구min,인구max,위도,경도
2026-09-18 06:22:28+0900,2026-09-18 05:50:00+0900,POI014,강남역,여유,20000,22000,37.500198,127.028221
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI001,강남 MICE 관광특구,여유,2500,3000,37.511284,127.060052
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI002,동대문 관광특구,여유,14000,16000,37.567214,127.00755
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI003,명동 관광특구,여유,10000,12000,37.56414,126.982884
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI004,이태원 관광특구,여유,3500,4000,37.534757,126.99592
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI005,잠실 관광특구,여유,18000,20000,37.518689,127.116944
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI006,종로·청계 관광특구,여유,10000,12000,37.569842,126.998667
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI007,홍대 관광특구,여유,30000,32000,37.555062,126.921591
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI008,경복궁,여유,300,400,37.580915,126.977647
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI009,광화문·덕수궁,여유,4500,5000,37.569033,126.977809
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI010,보신각,여유,2000,2500,37.570898,126.983376
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI011,서울 암사동 유적,여유,300,400,37.561028,127.130785
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI012,창덕궁·종묘,여유,3500,4000,37.57953,126.994168
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI013,가산디지털단지역,여유,7500,8000,37.482673,126.880145
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI014,강남역,여유,20000,22000,37.500198,127.028221
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI015,건대입구역,여유,14000,16000,37.540005,127.067182
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI016,고덕역,여유,1500,2000,37.553377,127.155033
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI017,고속터미널역,여유,3000,3500,37.504723,127.005423
2026-09-18 06:23:23+0900,2026-09-18 05:55:00+0900,POI018,교대역,여유,5500,6000,37.491855,127.014566
